프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,지원자격_특이사항,참고사항,수학가능학과/영어강의목록 등,Factsheet 여부,교환학생수기 여부,유의사항,웹사이트,언어권구분
일반교환,자매대학,E0072,아시아,아제르바이잔,카자대,Khazar University,-,A-2, ITP 제외,"* 위치: Baku (수도)
* 특징: 학생 수 약 2,500명","★ 수학가능학과: Science and Engineering, Economics and Management, Humanities, Education and Social Sciences
* 일부과목 수강가능

★ 수강가능과목: 
(Science and Engineering): https://khazar.org/en/item/392
(Economics and Management): https://khazar.org/en/item/363
(Humanities, Education and Social Sciences) http://khazar.org/en/item/1439
* 각 과목의 수강요건 확인 필요
file:///C:/Users/wongd/Downloads/Khazar%20University%20Brochure.pdf 브로슈어 STUDY PROGRAMS 확인",x,x,,http://international.khazar.org/incoming/,영어(비유럽)
일반교환,자매대학,E0073,아시아,아제르바이잔,아다대학,ADA University,2.25/4.5 이상,영어 B2,"단, TOEIC 650 이상
*본교에서 1년 재학 필요","* 위치: Baku (수도)
* 특징: 학생 수 약 2,324명","★ 수학가능학과: Public and Internatoinal Affairs, Business, Education, IT and Engineering, Law
* EAPP(English for Academic Purpose Program)는 비학점 프로그램임
* EAPP 혹은 degree program

★ 수강가능과목: 
(EAPP) https://www.ada.edu.az/en/schools/programs/se/3703-english-for-academic-and-professional-purposes
(degree program) https://www.ada.edu.az/en/school/programs/111-curriculum",Y(2024-2025),x,,https://www.ada.edu.az/en/admissions/international,영어(비유럽)
일반교환,자매대학,E0077,유럽,영국,요크세인트존대,York St John University,-,"IELTS(Academic) 6.0
(영역별 5.5이상)

TOEFL(iBT) 75
(Listening 17, Reading 18, Speaking 20, Writing 20이상)","*TOEIC, ITP 제외
*TOEFL 홈에디션 제외","* 위치: York
* 특징: 학생 수 약 6,500명
          1841년도 설립","★ 수학가능학과: Arts, Education, Language and Psychology, Humanities, Science, Technology and Health
★ 수강가능과목(2024): https://www.yorksj.ac.uk/international/study-abroad-and-exchange/study-abroad-at-york-st-john/academic-information/
*Module Catalogue 참고 ",Y(2024),x,,https://www.yorksj.ac.uk/international/study-abroad-and-exchange/study-abroad-at-york-st-john/,영어(유럽)
일반교환,자매대학,E0079,유럽,에스토니아,타루트대,University of Tartu,-,"TOEFL 75점 
IELTS 5.5점 
(영역별 5.5이상)","TOEIC, ITP 제외","* 위치: Tartu 
* 특징: 학생 수 약 13,169명 
         에스토니아 내 대학 랭킹 1위
         1909년 노벨화학상 수상자 빌헬름 오스트발트 배출대학","★ 수학가능학과: Arts and Humanities, Social Sciences, Medicine, Science and Technology
* 일부과목 수강가능

★ 수강가능과목: (영어) https://ut.ee/en/courses-taught-english-and-grading",Y(2024),Y(2017),,https://ut.ee/en/content/exchange-studies,영어(유럽)
일반교환,자매대학,E0080,유럽,오스트리아,FHV,Vorarlberg University of Applied Sciences,-,"TOEFL(iBT) 60
IELTS 6.0","TOEIC, ITP 제외","* 위치: Vorarlberg (독일, 스위스, 리히텐슈타인 국경과 인접함)
* 특징: 학생 수 약 1,378명 
         봄학기만 파견 가능","★ 수학가능학과: Computer Science, Electronics and Information Technology Dual, Environment and Engineering, InterMedia, International Business, Mechatronics, Social Work
* 일부과목 수강가능

★ 수강가능과목(2024-2025):
https://www.fhv.at/en/fh/study-international/exchange-students-incomings/study-related-information-for-guest-students/english-course-offer/bachelor/computer-science#Semester-6-Courses-spring-summer",x,Y(2014-2019),,https://www.fhv.at/en/studies/international/exchange-students-incomings/,영어(유럽)
일반교환,자매대학,E0081,유럽,우크라이나,키예프국립대,Taras Shevchenko National University of Kyiv,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 850",,"*위치: 키예프
*특징: 학생 수 약 30,000명 
        기숙사비 무료","★ 수학가능학과: Economics, History, Sociology, Philology, International Relations

★ 수강가능과목(2024): https://knu.ua/ua/departments/ 
각 과목의 수강요건 확인 필요",x,x,,http://mobility.univ.kiev.ua/?page_id=1703&lang=en,영어(유럽)
일반교환,자매대학,E0082,유럽,이탈리아,카를로카타네오대학,Carlo Cattaneo University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800", ITP 제외,"* 위치: Castellanza (밀라노에서 기차로 약 40분 거리)
* 특징: 학생 수 약 2,054명
         다양한 영어강의 제공","★ 수학가능학과: Business economics, Law, Management engineering
* 일부과목 수강가능

★ 수강가능과목(2024,2025): 영어, 이탈리아어 사용
(영어) https://www.liuc.it/campus-ed-opportunita/international-office/incoming-students/courses-in-english/",Y(2024-2025),Y(2014-2019),,http://www.liuc.it/international-office/incoming-students/,영어(유럽)
일반교환,자매대학,E0083,유럽,이탈리아,살레르노대,University of Salerno,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800
CELI B2
CILS B2",,"* 위치: Salerno 
* 특징: 학생 수 약 34,000명
         중급 이상 이탈리아어 구사자만 지원가능(영어 과목 거의 없음)
         유럽에서 가장 오래된 대학","★ 수학가능학과: Chemistry and Biology, Pharmacy, Physics, Computer Science, Civil Engineering, Information and Electrical Engineering and Applied Mathematics, Industrial Engineering, Mathematics, Medicine, Surgery and Dentistry, Business Sciences, Cultural Heritage Sciences, Economics and Statistics, Legal Sciences, Political Sciences and Communication, Human, Philosophical and Education Sciences, Political and Social Studies, Humanities

★ 수강가능과목(2024,2025): 
https://web.unisa.it/didattica/internazionalizzazione-didattica/corsi-in-inglese
https://esse3web.unisa.it/Guide/PaginaRicercaInse.do",x,x,,https://www.unisa.it/unisa-rescue-page/profile/id/529/studente-internazionale?p=7,영어(유럽)
일반교환,자매대학,E0084,유럽,이탈리아,베로나대,University of Verona,-,"영어 B2
CELI B1, CILS B1", ITP 제외,"* 위치: Verona
* 특징: 학생 수 약 25,000명","★ 수학가능학과: 2023/2024년도에는 Master's degree 수업에서만 영어사용 예정 / 기타 이탈리아어 수업 제공

★ 수강가능과목(2024,2025): https://www.univr.it/en/course-catalogue
* 'Advanced search'의 'Language of Instruction'을 영어로 설정한 뒤 검색",Y(2024),Y(2018-2019),,https://www.univr.it/en/international,영어(유럽)
일반교환,자매대학,E0085,유럽,이탈리아,시에나대,University of Siena,-,영어 B2,,"* 위치: Siena
* 특징: 학생 수 약 20,000명","★ 수학가능학과: 
Economics, Law, Political sciences and social sciences, Cultural Heritage, Education, Literature, Languages, History and philosophy, Physics, Engineering, Mathematics, Biotechnologies, Medicine, Dentistry, Environmental sciences, Biology, Chemistry, Pharmacy, Geology
* 일부과목 수강가능, 하단(수강가능과목) 링크 참조

★ 수강가능과목(2023): 영어 
https://en.unisi.it/international/international-exchange-students/course-catalogue-learning-agreement",Y(2023),x,,https://en.unisi.it/international/international-exchange-students,영어(유럽)
일반교환,자매대학,E0086,유럽,이탈리아,사피엔자,Sapienza University of Rome,-,영어 B2,"TOEIC, ITP 제외","* 위치: Rome
* 특징: 학생 수 약 104,000명","★ 수학가능학과: Economics and Finance, Business Science

★ 수강가능과목(2024/2025): 이탈리아어 및 영어
https://corsidilaurea.uniroma1.it/en",Y(2024),x,,"https://economia.web.uniroma1.it/it, https://www.uniroma1.it/it/pagina/students-coming-sapienza",영어(유럽)
일반교환,자매대학,E0087,유럽,이탈리아,볼로냐대,University of Bologna,-,"영어 B2
CILS A2",이탈리아어 필수 ,"* 위치: Bologna
* 특징: 볼로냐에 있는 유일한 대학
         1088년에 설립된 세계에서 가장 오래된 대학",★ 수강가능학과 및 과목: https://www.unibo.it/en/study/phd-professional-masters-specialisation-schools-and-other-programmes/course-unit-catalogue,x,x,,https://www.unibo.it/en/international/incoming-exchange-students,영어(유럽)
일반교환,자매대학,E0089,유럽,체코,토마스바타대,Tomas Bata University,-,영어 B2,,"* 위치: Zlin
* 특징: 학생 수 약 9,200명","★ 수학가능학과: Applied Informatics, Humanities, Logistics and Crisis Management, Management and Economics, Multimedia Communications, Technology
*건축학과 지원불가
★ 수강가능과목: 
https://www.utb.cz/en/university/international/students/exchange-students/incoming-students/courses/",Y(2021),Y(2013-2019),,https://www.utb.cz/en/university/international/students/exchange-students/incoming-students/,영어(유럽)
일반교환,자매대학,E0091,유럽,체코,오스트라바대,University of Ostrava,-,영어 B2,,"* 위치: Ostrava
* 특징: 학생 수 약 8,500명","★ 수학가능학과: Social Studies, Education, Fine Arts, Arts, Medicine, Science
* 일부과목 수강가능, 하단(수강가능과목) 링크 참조

★ 수강가능과목(2024-2025): https://www.osu.eu/22821/courses/
* English 체크하여 과목 검색할 것",Y(2024),Y(2023),,https://www.osu.eu/exchange-programmes/,영어(유럽)
일반교환,자매대학,E0092,유럽,체코,브르노공대,Brno University of Technology,-,"TOEFL(iBT) 80
IELTS 6.0","TOEIC, ITP 제외","* 위치: Brno
* 특징: 학생 수 약 19,000명
         ECTS Label 및 학위 수여에서 체코 내 2위
         QS World University Ranking 약 600위 ","★ 수학가능학과: Architecture, Chemistry, Electrical Engineering and Communication, Information Technology, Business and Management, Civil Engineering, Mechanical Engineering, Fine Arts 
* 일부과목 수강가능

★ 수강가능과목(2024-2025): https://www.vut.cz/en/students/courses?data%5Bfid%5D=&data%5Bsemestr%5D=&data%5Brok%5D=2024&data%5Bjmv%5D=en&data%5Bp_nazev%5D=&action=search
* Language of instruction을 영어로 선택하여 검색",x,Y(2018-2020),,"https://www.vutbr.cz/en/students/welcome-week, https://www.vut.cz/edit/en/students/welcome-week/welcome-guide-updated-2024-p253796",영어(유럽)
일반교환,자매대학,E0093,유럽,체코,올로모우츠팔라츠키대,Palacky University Olomouc,3.0/4.5 이상,영어 B2,"* TOEFL만 인정(IELTS, TOEIC 제외)","* 위치: Olomouc
* 특징: 학생 수 약 24,000명
         1573년 설립","★ 수학가능학과: Arts, Physical Culture, Health Sciences, Medicine, Education, Law, Science   
★ 수강가능과목: 
1) https://www.stag.upol.cz/ects/search/#search-plany
2) https://international.upol.cz/en/exchange-programmes/im-an-exchange-student/news-general-information/#c69007
* 20~30 ECTS 수강 권장
* Language of Instruction: English로 검색",Y(2024-2025),x,,https://international.upol.cz/en/exchange-programmes/im-an-exchange-student/,영어(유럽)
일반교환,자매대학,E0094,유럽,크로아티아,알제브라대,Algebra University College,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Zagreb
* 특징: 학생 수 약 40,000명
       'Microsoft Learning Partner of the Year 2014' 타이틀 취득
        Microsoft, IBM, CISCO 등 많은 IT 기업과 아카데믹 파트너십 체결","★ 수학가능학과: Data Science, Software Engineering, System Engineering, Digital Marketing, Design and Communications Management
* 일부과목 수강가능

★ 수강가능과목:
https://www.algebra.hr/sveuciliste/en/international/exchange-programs-and-erasmus/student-mobility/incoming-students/modules-for-incoming-students/undergraduate-study-programs/",Y(2024-2025),Y(2019),,https://www.algebra.hr/sveuciliste/en/international/exchange-programs-and-erasmus/student-mobility/incoming-students/,영어(유럽)
일반교환,자매대학,E0095,유럽,튀르키예(터키),앙카라대,Ankara University,-,"TOEFL 80
IELTS 6.0
TOEIC 850",ITP 제외,"* 위치: Ankara
* 특징: 학생 수 약 66,796명","★ 수학가능학과: Sciences, Pharmacy, Engineering, Medicine, Languages and History-Geography, Agriculture, Veterinary, Divinity, Dentistry, Political Sciences
* 파견학기별 수강가능학과가 변경될 수 있음
* 일부과목 영어사용

★ 수강가능과목: http://education.erasmus.ankara.edu.tr/en/courses-in-english/
* 각 과목마다 사용언어 확인 필요",x,Y(2014),,https://erasmusport.ankara.edu.tr/tr/incoming-students,영어(유럽)
일반교환,자매대학,E0096,유럽,튀르키예(터키),디클대,Dicle University,-,"TOEFL 70
IELTS 6.0",,"* 위치: Diyarbakır
* 특징: 학생 수 약 32,200명","★ 수학가능학과: English Language and Literature, German Language and Literature, French Language and Literature, Mathematics, Law, Public Administration, Economics, Business Administration, Mechanical Engineering, Electrical and Electronics Engineering

★ 수강가능과목: https://obs.dicle.edu.tr/oibs/bologna/index.aspx?lang=en#
* Academic Units - Bachelor's Degree - 지원학과 - 세부사항 확인
* English 과목의 경우 영어로 강의, German, French는 해당 언어로 강의",x,x,,https://www.dicle.edu.tr/en/birimler/erasmus/sayfalar/student-mobility-for-studies-5269,영어(유럽)
일반교환,자매대학,E0097,유럽,튀르키예(터키),에르지에스대,Erciyes University,-,"TOEFL 80
IETLS 6.0
TOEIC 850",,"* 위치: Kayseri
* 특징: 학생 수 약 64,194명
         EUA(Eroupean University Association)의 멤버 대학","★ 수학가능학과: Dentistry, medical, Economics and Administrative Sciences, Engineering, Theology, Architecture, Fine arts, veterinary medicine, Education, Communication, Science, Literature, Health Sciences, Aviation and Space Sciences, Tourism, Law, Pharmacy, Agricuture, Sports Science
* 일부과목 수강가능

★ 수강가능과목: https://dbp.erciyes.edu.tr/Default.aspx
* Bachelor -지원학과 -Course Struchture Diagram with Credits -과목 선택 및 세부사항 확인
* 과목개설여부 확인 필요",x,x,,"https://erasmus.erciyes.edu.tr/en/incoming-students, https://www.erciyes.edu.tr/Files/ERU-International-Student-Guide/",영어(유럽)
일반교환,자매대학,E0098,유럽,튀르키예(터키),이스탄불애이든대,Istanbul Aydin University,2.81/4.5 이상,"TOEFL 80
IELTS 6.0
TOEIC 850",ITP 제외,"* 위치: Istanbul 
* 특징: 학생 수 약 39,000명","★ 수학가능학과: Business, International Trade, Political Science and International Relations, Aviation Management, English Language and Literature, English Language Teacher Education, Computer Engineering, Software Engineering, Electrical and Electronics Engineering, Industrial Engineering, Civil Engineering, Mechanical Engineering, Medicine and Dentistry (first 3 years of classes only for full academic year)
* 일부과목 수강가능

★ 수강가능과목(2024-2025): https://ebs.aydin.edu.tr/index.iau?Page=AB&Type=L",x,Y(2019),,https://www.aydin.edu.tr/en-us/international/internationalrelations/Pages/Incoming-Students.aspx,영어(유럽)
일반교환,자매대학,E0099,유럽,튀르키예(터키),마르마라대,Marmara University,-,"TOEFL 75
IELTS 5.5
TOEIC 800",,"* 위치: Istanbul
* 특징: 학생 수 약 50,092명
         The Times 아시아 랭킹 241위, 세계 랭킹 800위
         총 11개의 캠퍼스가 이스탄불 전역에 분포되어 있으면 캠퍼스별 학과 상이","★ 수학가능학과: Agricultural Sciences, Architecture, Urban and Regional Planning, Art and Design, Business Studies and Management Sciences, Education, Engineering, Technology, Geography, Geology, Hmanities, Languages and Philological Sciences, Law, Mathematics, Informatics, Medical Sciences, natural Sciences, Social Sciences, Communication and Informaiton Sciences, Other Areas of Study
* 일부과목 수강가능

★ 수강가능과목: 
https://meobs.marmara.edu.tr/Program/programlar-hakkinda-bilgi/on-lisans-915001
* 지원학과 - Curriculum - Lesson code - Language of the Course 등 확인",x,x,,https://uluslararasi.marmara.edu.tr/,영어(유럽)
일반교환,자매대학,E0100,유럽,튀르키예(터키),시놉대,Sinop University,-,"TOEFL 75
IELTS 5.5
TOEIC 800",,"* 위치: Sinop
* 특징: 학생 수 약 3,000명","★ 수학가능학과: Economics and Administrative Sciences, Education, Arts and Sciences, Fine Arts, Theology, Engineering and Architecture, Art and Design, Sports Science, Fisheries, Health, Tourism and Hotel Management, Applied Sciences, Foreign Languages
* 일부과목 수강가능

★ 수강가능과목(2022-2023): https://erasmus.sinop.edu.tr/wp-content/uploads/sites/121/2022/10/Bolum-Ders-Katalogu1-1.pdf",x,x,,https://oidb.sinop.edu.tr/international-students/,영어(유럽)
일반교환,자매대학,E0101,유럽,튀르키예(터키),안탈리아빌림대,Antalya International University (Antalya Bilim University),-,"TOEFL 80
IELTS 6.0
TOEIC 850",,* 위치: 안탈리아,"★ 수학가능학과: Engineering and Natural Sciences, Fine Arts and Architecture, Toursim, Business and Social Sciences

★ 수강가능과목(2024-2025): https://antalya.edu.tr/en/departments/international-student-office/content/how-to-apply-1/courses-and-tuition-fees-1",x,x,,https://erasmus.antalya.edu.tr/en/new/incoming-students,영어(유럽)
일반교환,자매대학,E0102,유럽,튀르키예(터키),카흐라만마라스대,Kahramanmaras Sutcu Imam University,-,"TOEFL 80
IELTS 6.0
TOEIC 850",,"* 위치: 카흐라만마라스
* 특징: 학생 수 약 18,641명",★ 수강가능학과 및 과목: https://internationalstudents.ksu.edu.tr/depo/belgeler/2024-2025%20ULUSLARARASI%20%C3%96%C4%9ERENC%C4%B0%20KONTENJANLARI_2405161203095265_2405161212399169.pdf,x,x,,https://internationalstudents.ksu.edu.tr/,영어(유럽)
일반교환,자매대학,E0103,유럽,튀르키예(터키),알티반스대,Altinbas University,2.81/4.5 이상,영어 B2,*최소 1학년 수료 학생 지원 가능,"* 위치: 튀르키예 이스탄불
* 특징: 학생 수 약 11,450명 (국제학생 약 9,820명)","★ 수학가능학과: Dentistry, Pharmacy, Fine Arts and Design, Law, Medicine, Economics and Administrative Sciences, Business, Engineering and Architecture
★ 수강가능과목(2023-2024): https://ects.altinbas.edu.tr/dereceprogramlari/1?lang=en-US
* 각 과목의 수강요건 확인 필요",x,x,,https://global.altinbas.edu.tr/?page_id=337,영어(유럽)
일반교환,자매대학,E0104,아시아,키르기스스탄,오쉬기술대,Osh Technological University,-,A-4,,"* 위치: Osh
* 특징: 학생 수 약 8,918명","★ 수학가능학과:  Natural Sciences and Engineering, Economics and Management, Architecture and Construction,  Cybernetics and Information Technology, Automobile Transport and Service Technology, Technology and Nature Management
* 일부과목 수강가능

★ 수강가능과목: https://erasmusplus.kg/wp-content/uploads/2018/12/psform_e-he-oshtu.pdf
* 각 수강가능과목의 수강요건 확인 필요",x,x,,http://oshtu.kg/en/2018/04/international-department/,영어(비유럽)
일반교환,자매대학,E0105,유럽,포르투갈,코임브라공대,Polytechnical Institute of Coimbra,-,"TOEFL(iBT) 60
IELTS 4.5
TOEIC 700",,"* 위치: Coimbra
* 특징: 학생 수 약10,197명","★ 수학가능학과: Mechanical Engineering, Electrical and Computer Engineering, Electromecanical Engineering,  
Civil Engineering, Informatics Engineering, European Computer Science, Biomedical Engineering,  Bioengineering, 
 Engineering and Industrial Management, Sustainable City Management

★ 수강가능과목: https://www.isec.pt/en/
* Bachelor Courses 참고 ",x,x,,https://www.ipc.pt/ipc/internacional/,영어(유럽)
일반교환,자매대학,E0106,유럽,폴란드,코즈민스키대,Kozminski University,-,영어 B2,"* ITP 제외
* TOEIC 제외","* 위치: 바르샤바
* 특징: 학생 수 약 7,450명
         유럽 내 경영대학 순위 41위","★ 수학가능학과: Management and Marketing, Law and Administration 

★ 수강가능과목: 영어 사용
1) https://kozminski.my.site.com/s/sylabus-exchange-incoming-students?language=en_US
2) https://www.kozminski.edu.pl/pl/spolecznosc/incoming-students
* Courses offer for Incoming Exchange Students in Fall 2024/2025 참고",Y(2025-2026),Y(2015-2019),,https://www.kozminski.edu.pl/en/community/incoming-students,영어(유럽)
일반교환,자매대학,E0107,유럽,폴란드,카토비체경제대,University of Economics in Katowice,-,영어 B2,,"* 위치: Katowice
* 특징: 학생 수 약 10,520명","★ 수학가능학과: Economics, Finance and Insurance, Informaion and Communication Technology, Management

★ 수강가능과목(2024/2025): https://www.ue.katowice.pl/en/incoming-exchange-students/study-offer.html
    *Bachelor 부분 참고 ",Y(2025-2026),Y(2012-2019),,https://www.ue.katowice.pl/en/incoming-exchange-students.html,영어(유럽)
일반교환,자매대학,E0108,유럽,폴란드,바르샤바대,University of Warsaw,-,영어 B2,"TOEIC, ITP 제외
* 토플 홈에디션 인정불가","* 위치: 바르샤바
* 특징: 학생 수 약 54,800명","★ 수강가능학과 및 과목:  https://informatorects.uw.edu.pl/pl/
*Polish Language and culture course 2주 수강 추천",Y(2021),x,,http://en.bwz.uw.edu.pl/incoming/,영어(유럽)
일반교환,자매대학,E0109,유럽,프랑스,오덴시아낭뜨경영대,Audencia Nantes School of Management,-,"TOEFL(iBT) 80
TOEIC 850","IELTS, ITP 제외","* 위치: Nantes
* 특징: 학생 수 약 4,500명
         프랑스 최고수준인 경영 그랑제꼴(Grande École)에 속하는 대학, 그랑제꼴의 특성상 학사, 대학원 통합과정형태로 제공
         경영대학 Equis, AACSB, AMBA 모두 인증         
         경제통상대학, 경영대학 우선선발       ","★ 수학가능학과: Economics, Business & Management, Media & Communication

★ 수강가능과목: 영어 및 프랑스어 사용
https://apply.exchangestudents.audencia.com/_portal/course-catalogue",Y(2024-2025),Y(2015-2019),,https://international.audencia.com/,영어(유럽)
일반교환,자매대학,E0110,유럽,프랑스,노르망디비즈니스스쿨,Ecole de Management de Normandie,-,"TOEFL(iBT) 72
IELTS 5.5 
TOEIC 750"," ITP 제외
영어 수업 희망 시: 영어 성적 필요
프랑스어 수업 희망 시: 프랑스어 성적 필요","* 위치: Le Havre
* 특징: 학생 수 약 5,230명","★ 수학가능학과: Management, International Management, European Business

★ 수강가능과목(2024-2025): (프랑스어, 영어) https://buly.kr/8TpxhDB",Y(2024),Y(2015-2017),,https://en.em-normandie.com/em-normandie-experience/open-world-studying-abroad/exchange-programmes#programmes,영어(유럽)
일반교환,자매대학,E0113,유럽,프랑스,GES 네트워크,GES Schools' Network,-,TOEFL(iBT) 75,"TOEIC, IELTS, ITP 제외","* 위치: Paris
* 특징: 학생 수 약 7,800명","★ 수학가능학과: Luxury Business, Management, Business and Finance, Computer Engineering, 3D Animation and Game Design, Web and TV, Graphic Design, International Business School

★ 수강가능과목: 
(EIML Paris_Luxury Business) http://www.eiml-paris.fr/program-presentation.html$  
(PPA_Management, Business and Finance) http://www.ppa.fr/ 
(ESGI_Computer Engineering) http://www.esgi.fr/  
(ICAN_3D Animation and Game Design) http://www.ican-design.fr/ 
(ECITV_Web and TV) http://www.ecitv.fr/  
(Mod’Art International_Graphic Design) http://fr.modart-paris.com/   
(IPE_International Business School) http://www.ipe-paris.fr/
*한 곳의 캠퍼스에서만 수학 가능",x,x,,http://www.reseau-ges.fr,영어(유럽)
일반교환,자매대학,E0114,유럽,프랑스,장모네대,Jean Monnet University,-,"TOEFL(iBT) 70
IELTS 5.0
TOEIC 750
프랑스어 D1", ITP 제외,"* 위치: Saint-Étienne (리옹에서 차로 약 1시간 거리)
* 특징: 학생 수 약 150,000명
          Tréfilerie, Carnot, la Métare, Bellevue, Roanne의 5개 캠퍼스로 구성되어 있음","★ 수학가능학과: Engineering, Electronics, Telecommunications, Informatics, Photonics, Vision and Networks (TSE), Plastic Arts, Business, Accounting, French Language and Literature, French Literature,, Applied Foreign Languages, English 

★ 수강가능과목: 영어 및 프랑스어 사용
(영어) https://www.iut.univ-st-etienne.fr/en/training-offer.html",x,Y(2015-2023),,https://www.univ-st-etienne.fr/fr/international-1/etudiants-internationaux-incoming-students.html,"영어(유럽), 프랑스어"
일반교환,자매대학,E0115,유럽,프랑스,폴대학교레오나드르드빈치,Pôle Universitaire Léonard de Vinci,-,"영어 B2
 프랑스어 D3",,"* 위치: Paris
* 특징: 학생 수 약 6,500명
         1995년 개교한 사립학교로 교내 시설이 잘 갖춰진 편
         실무 중심 수업이 많은 편","★ 수학가능학과: Business & Management – EMLV, Engineering - ESILV

★ 수강가능과목: 
1) file:///C:/Users/wongd/Downloads/EMLV_2024-2025_Course_list%20.pdf
2) file:///C:/Users/wongd/Downloads/ESILV_2024-2025_Course_list.pdf",x,Y(2017-2023),,https://www.devinci.fr/en/international/,"영어(유럽), 프랑스어"
일반교환,자매대학,E0116,유럽,프랑스,시앙스컴,SciencesCom,-,"TOEFL(iBT) 80
TOEIC 850","IELTS, ITP 제외","* 위치: Nantes
* 특징: 학생 수 약 400명
         TéléNantes와의 제휴로 인해 라디오와 TV 스튜디오 실습 가능
         언론홍보학과 우선 선발","★ 수학가능학과: Bachelor Communication and medias, Master in Communication and Media

★ 수강가능과목: 영어 및 프랑스어 사용
https://apply.exchangestudents.audencia.com/_portal/course-catalogue--undergraduate",x,Y(2016-2022),,https://sciencescom.audencia.com/en/programs/international/,영어(유럽)
일반교환,자매대학,E0117,유럽,프랑스,툴루즈경영대,Toulouse Business School,-,"TOEFL(iBT) 79 이상
듀오링고 100 이상
IELTS 6.0 이상
DELF B2 이상","TOEIC, ITP 제외
* 최소 24ECTS 수강 필요(1개 학기)","* 위치: Toulouse
* 특징: 학생 수 약 5,600명
         경제통상대학, 경영대학 주전공자 우선 선발","★ 수학가능학과: Management

★ 수강가능과목: https://www.tbs-education.com/about-tbs/international/incoming-exchange-students/
* Bachelor 2,3 중 선택",Y(2025),Y(2015-2019),,https://www.tbs-education.com/about-tbs/international/incoming-exchange-students/,"영어(유럽), 프랑스어"
일반교환,자매대학,E0118,유럽,프랑스,끌레르몽페랑대,University of Clermont-Ferrand,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800 
프랑스어 D1", ITP 제외,"* 위치: Auvergne
* 특징: 학생 수 약 16,644명
         두 학기 지원 가능하며 이수 시 diploma 받을 수 있음
         약학, 의학, 치의학, 법학, 토론학, 경제학, 정치학, 경영학, 기술학 분야에 있어서 60개 이상의 국제학위를 제공하는 프랑스 최고의 종합기관인 EPSCSP에 소속되어 있음","★ 수학가능학과: Business, Management/ Economics/ Languages, Culture and Communication 

★ 수강가능과목(2020): 
(영어) https://www.uca.fr/en/come-to-uca/students/study-at-uca-as-an-exchange-student/courses-taught-in-english",x,Y(2013-2019),,https://iae.uca.fr/international/incoming-students/exchange-students,"영어(유럽), 프랑스어"
일반교환,자매대학,E0119,유럽,프랑스,부르고뉴대,University of Burgundy,-,B2,"TOEIC, ITP 제외","* 프랑스 동부, 부르고뉴 디종에 위치
* 특징: 학생 수 약 30,917명
         메인캠퍼스인 Dijon을 포함해 Auxerre, Chalon-sur-Saône, Le Creusot, Mâcon, Nevers과 같이 6개의 캠퍼스가 있음
         약 3000명의 국제학생들이 재학 중이며, 국제학생과 장애우를 위한 지원체제가 잘 갖추어져 있음","★ 수학가능학과: School of Management

★ 수강가능과목: https://ub-link.u-bourgogne.fr/etudiants-internationaux/venir-dans-le-cadre-d-un-partenariat-avec-votre-universite-d-origine.html
*상단 수학가능학과 내에서 과목 선택 가능",x,Y(2019),,http://en.u-bourgogne.fr/admission/exchange-students.html,기타
일반교환,자매대학,E0120,유럽,프랑스,리토랄오팔코스트대,University of the Littoral Opal Coast,-,"영어 B2
프랑스어 D1", ITP 제외,"* 프랑스 북부, 항구 도시인 됭케르크에 위치 (벨기에 국경과 인접)
* 특징: 학생 수 약10,337명
         Pas-de-Calais주에 4개의 캠퍼스 있음(전공에 따라 캠퍼스 다름) ","★ 수학가능학과: Arts, Law, Human & Social Sciences, Sciences & Technologies
예술,문화,언어대학, 법률,경제,경영대학, 인문&사회과학대학, 과학,기술,건강대학

★ 수강가능과목: https://www.univ-littoral.fr/en/student-success-our-priority/course-offering/
*링크접속 - Course - Programe
*대부분의 강의가 불어로 진행",x,Y(2015),,https://www.univ-littoral.fr/en/coming-to-ulco-to-study/,"영어(유럽), 프랑스어"
일반교환,자매대학,E0122,유럽,프랑스,사부아몽블랑대,University Savoie Mont Blanc,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800
프랑스어 D1","* 프랑스어 지원자의 경우 D-2 소지 학생 또한 지원 가능하나, 학기 내 프랑스어 수업을 들어야함","* 위치: Chambéry
* 특징: 학생 수 약 12,806명
         1979년 설립된 프랑스 공립학교로 3개의 캠퍼스를 가지고 있음","★ 수학가능학과: Law (FD), Business Administration (IAE Chambéry), Business Administration, Engineering (Polytech Annecy Chambéry), Literature, Languages and human sciences (LLSH), Annecy (IUT d'Annecy), Science and Mountain (Scem), Chambery(IUT)

★ 수강가능과목: 영어, 프랑스어 사용 
    (영어) https://www.univ-smb.fr/international/venir-a-luniversite/formations-en-anglais/
    (프랑스어) https://formations.univ-smb.fr/fr/index.html",Y(2024-2025),Y(2018),,https://www.univ-smb.fr/en/international/venir-a-luniversite/en-programme-dechange/,"영어(유럽), 프랑스어"
