reports_univ,school_candidate,similarity_score
Hochschule Augsburg University of Applied Sciences,Tio University of Applied Sciences,94
Hochschule Augsburg University of Applied Sciences,Hof University of Applied Sciences,94
Muenster University of Applied Sciences,Hof University of Applied Sciences,94
Darmstadt University of Applied Sciences,Hof University of Applied Sciences,94
Hof University of Applied Sciences,Tio University of Applied Sciences,94
Hof University of Applied Sciences,The Hague University of Applied Sciences,94
Hof University of Applied Sciences,Kaiserslautern University of Applied Sciences,94
Tio University of Applied Sciences,Peruvian University of Applied Sciences,94
Hof University of Applied Sciences,Worms University of Applied Sciences,94
Hanze University of Applied Sciences Groningen,Hof University of Applied Sciences,94
Tio University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,94
Hanze University of Applied Sciences Groningen,Tio University of Applied Sciences,94
Hochschule Kaiserslautern (University of Applied Sciences),Hof University of Applied Sciences,94
Hochschule Darmstadt University Of Applied Sciences,Hof University of Applied Sciences,94
Tio University of Applied Sciences,Tampere University of Applied Sciences,94
Hochschule Darmstadt University Of Applied Sciences,Tio University of Applied Sciences,94
TH Köln University of Applied Sciences,Hof University of Applied Sciences,94
Worms University of Applied Sciences,Tio University of Applied Sciences,94
Tampere University of Applied Sciences,Hof University of Applied Sciences,94
Furtwangen University of Applied Sciences,Tio University of Applied Sciences,94
Regensburg University of Applied Sciences (OTH Regensburg),Tio University of Applied Sciences,94
Furtwangen University of Applied Sciences,Hof University of Applied Sciences,94
Regensburg University of Applied Sciences,Hof University of Applied Sciences,94
Hof Applied Science University,Hof University of Applied Sciences,94
Oulu University of Applied Sciences,Tio University of Applied Sciences,94
Augsburg University of Applied Sciences,Tio University of Applied Sciences,94
Regensburg University of Applied Sciences,Tio University of Applied Sciences,94
Tampere University of Applied Sciences,Tio University of Applied Sciences,94
Helsinki Metropolia University of Applied Sciences,Tio University of Applied Sciences,94
Oulu University of Applied Sciences,Hof University of Applied Sciences,94
Leuphana Universitat of Lüneburg,Leuphana University of Luneburg,94
Vorarlberg University of Applied Sciences,Tio University of Applied Sciences,94
Helsinki Metropolia University of Applied Sciences,Hof University of Applied Sciences,94
Hanze University of Applied Sciences,Hof University of Applied Sciences,94
Regensburg University of Applied Sciences (OTH Regensburg),Hof University of Applied Sciences,94
Worms University of applied sciences,Hof University of Applied Sciences,94
Hanze University of Applied Sciences,Tio University of Applied Sciences,94
Vorarlberg University of Applied Sciences,Hof University of Applied Sciences,94
TH Köln University of Applied Sciences,Tio University of Applied Sciences,94
University of Oklahoma,Oklahoma State University,93
School of humanities of Beijing university of posts and Telecommunications,"Beijing University of Posts and Telecommunications
(北京邮电大学)",93
Saxion University of Applied Sciences,Savonia University of Applied Sciences,93
"Beijing University of Posts and Telecommunications, 중국 Donghua University","Beijing University of Posts and Telecommunications
(北京邮电大学)",93
University of Paris-Est Créteil Val de Marne,University of Paris 13,93
Oulu University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,92
Dresden University of Applied Sciences,Oulu University of Applied Sciences,92
University of Málaga,University of Malaya,92
Hanze University of Applied Sciences Groningen,Oulu University of Applied Sciences,92
Worms University of Applied Sciences,Oulu University of Applied Sciences,92
Tampere University of Applied Sciences,Oulu University of Applied Sciences,92
Oulu University of Applied Sciences,Peruvian University of Applied Sciences,92
Hochschule Kaiserslautern (University of Applied Sciences),Oulu University of Applied Sciences,92
The Hague University of Applied Sciences,Oulu University of Applied Sciences,92
Oulu University of Applied Sciences,Savonia University of Applied Sciences,92
Aachen University of Applied Sciences,Oulu University of Applied Sciences,92
Augsburg University of Applied Sciences,Oulu University of Applied Sciences,92
Hanze University of Applied Sciences,Oulu University of Applied Sciences,92
Hochschule Augsburg University of Applied Sciences,Oulu University of Applied Sciences,92
Furtwangen University of Applied Sciences,Oulu University of Applied Sciences,92
Oulu University of Applied Sciences,Saxion University of Applied Sciences,92
Alice Salomon University of Applied Sciences,Oulu University of Applied Sciences,92
Kaiserslautern University of Applied Sciences,Oulu University of Applied Sciences,92
Oulu University of Applied Sciences,Tampere University of Applied Sciences,92
European University of Applied Sciences,Oulu University of Applied Sciences,92
Oulu University of Applied Sciences,The Hague University of Applied Sciences,92
Muenster University of Applied Sciences,Oulu University of Applied Sciences,92
Oulu University of Applied Sciences,Worms University of Applied Sciences,92
Oulu University of Applied Sciences,Vorarlberg University of Applied Sciences,92
Saxion University of Applied Sciences,Oulu University of Applied Sciences,92
Fachhochschule Münster University of Applied Sciences,Oulu University of Applied Sciences,92
Oulu University of Applied Sciences,Kaiserslautern University of Applied Sciences,92
FH Aachen University of Applied Sciences,Oulu University of Applied Sciences,92
Worms University of applied sciences,Oulu University of Applied Sciences,92
TH Köln – University of Applied Sciences,Oulu University of Applied Sciences,92
Saxion University of applied science,Savonia University of Applied Sciences,92
Helsinki Metropolia University of Applied Sciences,Oulu University of Applied Sciences,92
Vorarlberg University of Applied Sciences,Oulu University of Applied Sciences,92
TH Köln University of Applied Sciences,Oulu University of Applied Sciences,92
Darmstadt University of Applied Sciences,Oulu University of Applied Sciences,92
Regensburg University of Applied Sciences,Oulu University of Applied Sciences,92
Hochschule Darmstadt University Of Applied Sciences,Oulu University of Applied Sciences,92
FHWien der wkw university of applied sciences,Oulu University of Applied Sciences,92
Regensburg University of Applied Sciences (OTH Regensburg),Oulu University of Applied Sciences,92
Hanze University of Applied Sciences Groningen,Worms University of Applied Sciences,91
FHWien der wkw university of applied sciences,Worms University of Applied Sciences,91
University of Braunschweig of Technology,Brno University of Technology,91
Alice Salomon University of Applied Sciences,Worms University of Applied Sciences,91
Brno University of Technology,Hubei University of Technology(湖北工业大学),91
Vorarlberg University of Applied Sciences,Worms University of Applied Sciences,91
The Hague University of Applied Sciences,Worms University of Applied Sciences,91
Brno University of Technology,Shandong University of Science and Technology (山东科技大学),91
Brno University of Technology,Auckland University of Technology,91
TH Köln – University of Applied Sciences,Worms University of Applied Sciences,91
Hanze University of Applied Sciences,Saxion University of Applied Sciences,91
Brno University of Technology,Jiangsu University of Technology,91
Aachen University of Applied Sciences,Worms University of Applied Sciences,91
TH Köln University of Applied Sciences,Worms University of Applied Sciences,91
Hanze University of Applied Sciences,Kaiserslautern University of Applied Sciences,91
Hanze University of Applied Sciences,The Hague University of Applied Sciences,91
Hanze University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of applied sciences,Saxion University of Applied Sciences,91
Brno University Of Technology,Shandong University of Science and Technology (山东科技大学),91
Worms University of applied sciences,Savonia University of Applied Sciences,91
Hanze University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,91
Worms University of Applied Sciences,Vorarlberg University of Applied Sciences,91
Brno University Of Technology,Jiangsu University of Technology,91
Hof Applied Science University,Tio University of Applied Sciences,91
Augsburg University of Applied Sciences,Worms University of Applied Sciences,91
Hochschule Kaiserslautern (University of Applied Sciences),Worms University of Applied Sciences,91
Kaiserslautern University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of applied sciences,Peruvian University of Applied Sciences,91
Worms University of applied sciences,Helsinki Metropolia University of Applied Sciences,91
Worms University of applied sciences,Tampere University of Applied Sciences,91
Worms University of Applied Sciences,Kaiserslautern University of Applied Sciences,91
SceincesCom,SciencesCom,91
Fachhochschule Münster University of Applied Sciences,Worms University of Applied Sciences,91
European University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of applied sciences,Vorarlberg University of Applied Sciences,91
Helsinki Metropolia University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of Applied Sciences,The Hague University of Applied Sciences,91
Saxion University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of Applied Sciences,Saxion University of Applied Sciences,91
Tampere University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of applied sciences,Kaiserslautern University of Applied Sciences,91
FH Aachen University of Applied Sciences,Worms University of Applied Sciences,91
Hanze University of Applied Sciences,Tampere University of Applied Sciences,91
Hanze University of Applied Sciences,Peruvian University of Applied Sciences,91
Furtwangen University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of Applied Sciences,Tampere University of Applied Sciences,91
