reports_univ,school_candidate,similarity_score
University Center for Technology and Digital Art,University Center - Senac,85
FHWien der wkw university of applied sciences,Vorarlberg University of Applied Sciences,85
University of Worcester,University of Manchester,85
Saxion University of applied science,Peruvian University of Applied Sciences,85
Alice Salomon University of Applied Sciences,Vorarlberg University of Applied Sciences,85
Hochschule Augsburg University of Applied Sciences,Vorarlberg University of Applied Sciences,85
Hochschule Darmstadt University Of Applied Sciences,Vorarlberg University of Applied Sciences,85
University of Leicester,University of Manchester,85
University of Vechta,University of Verona,85
California State University Monterey Bay,"California State University, Long Beach",85
Furtwangen University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,85
Furtwangen University of Applied Sciences,Vorarlberg University of Applied Sciences,85
Regensburg University of Applied Sciences,Kaiserslautern University of Applied Sciences,85
Furtwangen University of Applied Sciences,Kaiserslautern University of Applied Sciences,85
Regensburg University of Applied Sciences,Vorarlberg University of Applied Sciences,85
Universitat de Barcelona,University of Barcelona,85
Regensburg University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,85
Radboud University,Bond University,85
Aachen University of Applied Science,Peruvian University of Applied Sciences,85
Helsinki Metropolia University of Applied Sciences,Vorarlberg University of Applied Sciences,85
Kaiserslautern University of Applied Sciences,Vorarlberg University of Applied Sciences,85
University of Siena,University of Seville,85
University of Keele,University of Seville,85
Münster University of Applied Science,Oulu University of Applied Sciences,85
University of Ostrava,University of Otago,85
Münster University of Applied Science,Peruvian University of Applied Sciences,85
University of Málaga,University of Alabama,85
Münster University of Applied Science,Saxion University of Applied Sciences,85
University of Manchester,University of Leicester,85
University of Málaga,University of Montana,85
Hof Applied Science University,Tampere University of Applied Sciences,85
Hof Applied Science University,Savonia University of Applied Sciences,85
University of Clermont Auvergne,University of Clermont-Ferrand,85
University of Málaga,University of Glasgow,85
university of Ostrava,University of Otago,85
Regensburg University of Applied Sciences (OTH Regensburg),Vorarlberg University of Applied Sciences,85
University of Málaga,University of Calgary,85
California Baptist University,"University of California, Davis",85
Hochschule Kaiserslautern (University of Applied Sciences),Vorarlberg University of Applied Sciences,85
University of Málaga,University of Bologna,85
"California State University, Monterey Bay","California State University, Long Beach",85
University of Siena,University of Salerno,85
Aachen University of Applied Science,Oulu University of Applied Sciences,85
University Of Worcester,University of Manchester,85
University of Verona,University of Oregon,85
Vorarlberg University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,85
Meiji Gakuin University,Sapporo Gakuin University(札幌学院大学),85
Meiji Gakuin University,Kwansei Gakuin University,85
Universidad de Alicante,Universidad de Leon,85
University of Verona,University of Vechta,85
Meiji Gakuin University,Seinan Gakuin University,85
University of A Coruña,University of Tartu,85
University of Vigo,Savonia University of Applied Sciences,84
Hochschule Kaiserslautern (University of Applied Sciences),University of Vigo,84
University of Vigo,University of the Littoral Opal Coast,84
Hanze University of Applied Sciences Groningen,University of Vigo,84
University of Clermont Auvergne,University of Vigo,84
University of Vigo,University of Paris 13,84
University of Malaga,University of Vigo,84
University of Malaga,University of Salamanca,84
University of Vigo,Tampere University of Applied Sciences,84
University of Vigo,Oulu University of Applied Sciences,84
University of Clermont Auvergne,University of Mons,84
Hanze University of Applied Sciences Groningen,University of Mons,84
University of Vigo,University of toulouse jean jaures,84
University of Vigo,University of Burgundy,84
Hochschule Kaiserslautern (University of Applied Sciences),University of Mons,84
University of Vigo,University of Strasbourg,84
University of Malaga,University of Mons,84
"Beijing University of Posts and Telecommunications
(北京邮电大学)",University of Mons,84
University of Vigo,University of Clermont-Ferrand,84
University of Vigo,Sapienza University of Rome,84
Münster University of Applied Science,Kaiserslautern University of Applied Sciences,84
Tor Vergata University of Rome,University of Mons,84
University of Vigo,University of Salerno,84
University of Vigo,University of Verona,84
University of Vigo,University of Siena,84
Hof Applied Science University,Peruvian University of Applied Sciences,84
University of Vigo,University of Bologna,84
University of Vigo,University of Warsaw,84
Károli Gáspár University of the Reformed Church in Hungary,University of Vigo,84
University of Vigo,University of Fortaleza,84
University of Vigo,University of Ostrava,84
University of Vigo,Brno University of Technology,84
University of Vigo,University of Economics in Katowice,84
University of Vigo,Helsinki Metropolia University of Applied Sciences,84
University of Málaga,University of Otago,84
Tio University of Applied Sciences,University of Mons,84
University of Vigo,University of Monterrey,84
University of Strasbourg,University of Mons,84
FH Aachen University of Applied Sciences,University of Mons,84
University of Vigo,Federal University of Viçosa,84
FH Aachen University of Applied Sciences,University of Vigo,84
Münster University of Applied Science,University of Mons,84
Leuphana University of Luneburg,University of Vigo,84
Polytechnic University of Catalonia,University of Mons,84
Regensburg University of Applied Sciences,University of Mons,84
Regensburg University of Applied Sciences,University of Vigo,84
Temple University,Umeå University,84
HZ University of Applied Sciences,University of Mons,84
University of California at Riverside,"University of California, Berkeley",84
HZ University of Applied Sciences,University of Vigo,84
University of California at Riverside,University of Vigo,84
University of California at Riverside,University of Mons,84
University of Strasbourg,University of Vigo,84
"Beijing University of Posts and Telecommunications
(北京邮电大学)",University of Vigo,84
Polytechnic University of Catalonia,University of Vigo,84
University of Alicante,University of Mons,84
Algebra University College,University College London,84
Saxion University of applied science,University of Mons,84
Tio University of Applied Sciences,University of Vigo,84
University of Vigo,Pontifical Catholic University of Minas Gerais,84
University of Vigo,University of Vale Do Itajai,84
Alice Salomon University of Applied Sciences,University of Mons,84
Saint Ignatius of Loyola University,University of Vigo,84
Alice Salomon University of Applied Sciences,University of Vigo,84
University of Alicante,University of Leicester,84
Saint Ignatius of Loyola University,University of Mons,84
Tianjin Normal University (天津师范大学),Jilin Normal University(吉林师范大学),84
Saxion University of applied science,University of Vigo,84
Károli Gáspár University of the Reformed Church in Hungary,University of Mons,84
Darmstadt University of Applied Sciences,University of Mons,84
Darmstadt University of Applied Sciences,University of Vigo,84
University of Alicante,University of Vigo,84
Algebra University College,University College Dublin,84
Leuphana University of Luneburg,University of Mons,84
Vorarlberg University of Applied Sciences,University of Mons,84
Münster University of Applied Science,University of Vigo,84
The University of La Sabana,University of Mons,84
The University of La Sabana,University of Vigo,84
University of South Dakota,University of Vigo,84
Athens University of Economics and Business,University of Mons,84
Athens University of Economics and Business,University of Vigo,84
University of South Dakota,University of Mons,84
University of Oklahoma,University of Alabama,84
University of Vigo,University of the Arts London,84
Muenster University of Applied Sciences,University of Vigo,84
Muenster University of Applied Sciences,University of Mons,84
University of Vigo,University of Glasgow,84
University of Oklahoma,University of Bologna,84
University of Vigo,University of Edinburgh,84
University of Vigo,University of Bristol,84
Nagoya University of Foreign Studies,University of Vigo,84
State University of New York at Stony Brook,University of Mons,84
State University of New York at Stony Brook,University of Vigo,84
University of Oklahoma,University of Vigo,84
University of Vigo,University of Washington,84
University of Vigo,"University of Wisconsin, Madison",84
University of Vigo,University of Pennsylvania,84
University of Vigo,University of Oregon,84
University of Vigo,"University of Nevada, Reno",84
University of Oklahoma,University of Mons,84
University of Vigo,University of Montana,84
University of Vigo,"University of Hawaii, Hilo",84
Nagoya University of Foreign Studies,University of Mons,84
University of Vigo,University of Westminster,84
University of Vigo,National University of Cuyo,84
"National Institute of Posts, Telecommunications And Information Communication Technology",Illinois Institute of Technology,84
university of Jaen,Saxion University of Applied Sciences,84
university of Jaen,HZ University of Applied Sciences,84
university of Jaen,Athens University of Economics and Business,84
American University,Ibero-Americana University,84
Umea University,Henan University,84
University of Vigo,"University of Oregon, Education Internship",84
University of Vigo,University of Minnesota,84
University of Vigo,"University of California, Santa Barbara",84
University of Vigo,"University of California, San Diego",84
University of Vigo,"University of California, Los Angeles",84
University of Vigo,"University of California, Davis",84
University of Vigo,"University of California, Berkeley",84
University of Verona,University of Mons,84
University of Vigo,University of Leipzig,84
University of Verona,University of Barcelona,84
university of Jaen,Tio University of Applied Sciences,84
University of Vigo,University of Toronto,84
University of Verona,University of Vigo,84
"University of Nevada, Las Vegas",University of Vigo,84
University of Vigo,University of Calgary,84
"University of Nevada, Las Vegas",University of Mons,84
University of Vigo,University of Queensland,84
University of Vigo,University of New South Wales,84
University of Vigo,University of Limerick,84
University of South Dakota,University of New South Wales,84
University of Vigo,"University of Colorado, Boulder",84
University of Vigo,University of Arkansas,84
University of Vigo,University of Alabama,84
University of California Los Angeles,"University of California, Berkeley",84
University of Vigo,University of Indonesia,84
University of Vigo,Uzbekistan State University of World Languages,84
University of Vigo,Tashkent University of Information Technologies,84
University of Málaga,University of Vigo,84
University of Vigo,University of Malaya,84
University of Vigo,National University of Kaohsiung,84
University of Vigo,The University of Carthage,84
University of Vigo,Peruvian University of Applied Sciences,84
California Baptist University,"University of California, Santa Barbara",84
California Baptist University,"University of California, San Diego",84
California Baptist University,"University of California, Los Angeles",84
California Baptist University,"University of California, Berkeley",84
California Baptist University,"California State University, Long Beach",84
California Baptist University,"California State University, San Marcos",84
California Baptist University,"California State University, Monterey Bay",84
California Baptist University,University of California at Riverside,84
Otsuma Women's University,Phillippine Women's University,84
TH Köln University of Applied Sciences,University of Vigo,84
Oulu University of Applied Sciences,University of Vigo,84
University of Vigo,The University of La Sabana,84
TH Köln University of Applied Sciences,University of Mons,84
University of Vigo,Vorarlberg University of Applied Sciences,84
Vorarlberg University of Applied Sciences,University of Vigo,84
Oulu University of Applied Sciences,University of Mons,84
Münster University of Applied Science,Savonia University of Applied Sciences,84
University of Vigo,"Osaka University of Economics and Law
(大阪経済法科大学)",84
University of Vigo,Nagoya University of Foreign Studies,84
University of Vigo,Kanda University of International Studies,84
University of Vigo,Christian University of Thailand,84
University of Vigo,Auckland University of Technology,84
University of Vigo,University of Hyderabad,84
University of Vigo,The University of Adelaide,84
university of Jaen,The Hague University of Applied Sciences,84
University of California Los Angeles,University of Vigo,84
University of Vigo,University of Manchester,84
University of Vigo,University of Leicester,84
University of California Los Angeles,University of Mons,84
Tampere University of Applied Sciences,University of Vigo,84
University of Vigo,University of Nebraska at Kearney,84
University of Vigo,University of California at Riverside,84
University of Vigo,Trinity University of Asia,84
University of Vigo,Japan University of Economics,84
University of Vigo,"Chinese University of Hong Kong, Chung Chi College",84
University of Málaga,University of Mons,84
University of Vigo,The Education University of Hong Kong(香港教育學院),84
University of Vigo,Hubei University of Technology(湖北工业大学),84
Tampere University of Applied Sciences,University of Mons,84
University of Vigo,Jiangsu University of Technology,84
University of Vigo,University of Jinan (中国济南大学),84
University of Vigo,Shandong University of Science and Technology (山东科技大学),84
University of Vigo,Zhengzhou University of Light Industry (郑州轻工业学院),84
University of Vigo,"Beijing University of Posts and Telecommunications
(北京邮电大学)",84
University of Vigo,"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",84
University of Vigo,Taras Shevchenko National University of Kyiv,84
university of Jaen,University of Bologna,84
University of Vigo,University of Tartu,84
University Of Worcester,University of Mons,84
University of Manchester,University of Vigo,84
University of Manchester,University of Mons,84
University of Minnesota,University of Vigo,84
SOAS University of London,University of Vigo,84
University of Minnesota,University of Mons,84
SOAS University of London,University of Mons,84
university of Jaen,"University of Oregon, Education Internship",84
University of Economics in Katowice,University of Mons,84
University of Economics in Katowice,University of Vigo,84
university of Jaen,University of Minnesota,84
university of Jaen,"University of California, Santa Barbara",84
university of Jaen,"University of California, San Diego",84
university of Jaen,"University of California, Los Angeles",84
university of Jaen,"University of California, Davis",84
University of Auvergne,University of Mons,84
University of Auvergne,University of Vigo,84
university of Jaen,"University of California, Berkeley",84
University of Central Lancashire,University of Mons,84
University of Vigo,Azerbaijan University of Languages,84
Dresden University of Applied Sciences,University of Vigo,84
University Of Worcester,University of Vigo,84
university of Ostrava,University of Vigo,84
Regensburg University of Applied Sciences (OTH Regensburg),University of Mons,84
university of Ostrava,University of Mons,84
Brno University Of Technology,University of Vigo,84
Brno University Of Technology,University Center for Technology and Digital Art,84
Brno University Of Technology,University of Mons,84
University Paris-Est Créteil,University of Paris 13,84
School of humanities of Beijing university of posts and Telecommunications,University of Vigo,84
School of humanities of Beijing university of posts and Telecommunications,University of Mons,84
University of Ostrava,University of Vigo,84
University of Ostrava,University of Mons,84
International Christian University,Mongolia International University,84
Brno University of Technology,University of Vigo,84
Brno University of Technology,University Center for Technology and Digital Art,84
Brno University of Technology,University of Mons,84
University of Central Lancashire,University of Vigo,84
University of Tartu,University of Otago,84
University of Auvergne,University of Salerno,84
university of Jaen,University of Leipzig,84
university of Jaen,University of Toronto,84
university of Jaen,University of Calgary,84
university of Jaen,University of Pennsylvania,84
TH Köln – University of Applied Sciences,University of Mons,84
university of Jaen,University of Oregon,84
"Beijing University of Posts and Telecommunications, 중국 Donghua University",University of Mons,84
"Beijing University of Posts and Telecommunications, 중국 Donghua University",University of Vigo,84
university of Jaen,"University of Nevada, Reno",84
university of Jaen,University of Montana,84
university of Jaen,"University of Hawaii, Hilo",84
university of Jaen,"University of Colorado, Boulder",84
Saxion University of Applied Sciences,University of Mons,84
Saxion University of Applied Sciences,University of Vigo,84
university of Jaen,University of Arkansas,84
university of Jaen,University of Alabama,84
university of Jaen,Auckland University of Technology,84
university of Jaen,University of Hyderabad,84
university of Jaen,The University of Adelaide,84
university of Jaen,University of Manchester,84
university of Jaen,"University of Wisconsin, Madison",84
university of Jaen,University of Washington,84
university of Jaen,University of Bristol,84
university of Jaen,University of the Arts London,84
university of Jaen,University of Otago,84
university of Jaen,University of Queensland,84
Helsinki Metropolia University of Applied Sciences,University of Mons,84
Helsinki Metropolia University of Applied Sciences,University of Vigo,84
university of Jaen,University of New South Wales,84
university of Jaen,University of Limerick,84
university of Jaen,University of Westminster,84
university of Jaen,University of Glasgow,84
university of Jaen,University of Edinburgh,84
Illinois Institute of Technology,Santo Domingo Institute of Technology,84
Illinois Institute of Technology,Changshu Institute Of Technology(常熟理工学院),84
Illinois Institute of Technology,Changchun Institute Of Technology,84
Illinois Institute of Technology,Sirindhorn International Institute of Technology,84
University of Leicester,University of Mons,84
University of Leicester,University of Vigo,84
TH Köln – University of Applied Sciences,University of Vigo,84
Regensburg University of Applied Sciences (OTH Regensburg),University of Vigo,84
University of Warsaw,University of Mons,84
University of Warsaw,University of Vigo,84
Aachen University of Applied Sciences,University of Vigo,84
University of Vechta,University of Vigo,84
Worms University of applied sciences,University of Vigo,84
Worms University of applied sciences,University of Mons,84
Regensburg University of Applied Science (OTH Regensburg),University of Vigo,84
Regensburg University of Applied Science (OTH Regensburg),University of Mons,84
Fachhochschule Münster University of Applied Sciences,University of Vigo,84
Fachhochschule Münster University of Applied Sciences,University of Mons,84
Worms University of Applied Sciences,University of Mons,84
Worms University of Applied Sciences,University of Vigo,84
Leuphana University of Lüneburg,University of Vigo,84
Leuphana University of Lüneburg,University of Mons,84
Hochschule Darmstadt University Of Applied Sciences,University of Vigo,84
Hochschule Darmstadt University Of Applied Sciences,University of Mons,84
Hochschule Augsburg University of Applied Sciences,University of Vigo,84
Hochschule Augsburg University of Applied Sciences,University of Mons,84
University of Malaya,University of Mons,84
University of Malaya,University of Vigo,84
University of Vechta,University of Mons,84
University of Arkansas,University of Mons,84
University of Arkansas,University of Vigo,84
University of Edinburgh,University of Vigo,84
International Chritstian University,Mongolia International University,84
Aachen University of Applied Science,The Hague University of Applied Sciences,84
Aachen University of Applied Science,Kaiserslautern University of Applied Sciences,84
Aachen University of Applied Science,University of Mons,84
Aachen University of Applied Science,University of Vigo,84
"University of California, Davis",University of Vigo,84
"University of California, Davis",University of Mons,84
University of Edinburgh,University of Mons,84
Furtwangen University of Applied Sciences,University of Vigo,84
"University of California, Berkeley","University of California, Santa Barbara",84
"University of California, Berkeley","University of California, San Diego",84
"University of California, Berkeley","University of California, Los Angeles",84
"University of California, Berkeley",University of California at Riverside,84
"University of California, Berkeley",University of Vigo,84
"University of California, Berkeley",University of Mons,84
Furtwangen University of Applied Sciences,University of Mons,84
University of Malaya,University of Salamanca,84
Aachen University of Applied Sciences,University of Mons,84
Leuphana university of Lueneburg,University of Mons,84
Xi'an International Studies University (西安外国语大学),Mongolia International University,84
The Hague University of Applied Sciences,University of Vigo,84
University of Siena,University of Mons,84
Hof University of Applied Sciences,University of Mons,84
University of Siena,University of Vigo,84
Hof University of Applied Sciences,University of Vigo,84
University of Keele,University of Vigo,84
Kaiserslautern University of Applied Sciences,University of Vigo,84
University of Keele,University of Mons,84
Kaiserslautern University of Applied Sciences,University of Mons,84
Regensburg University of Applied Science,University of Vigo,84
Regensburg University of Applied Science,University of Mons,84
University of Tartu,University of Mons,84
Leuphana university of Lueneburg,University of Vigo,84
University of Clermont-Ferrand,University of Vigo,84
University of Clermont-Ferrand,University of Mons,84
University of Tartu,University of Vigo,84
University Paris-Est Créteil (UPEC),University of Paris 13,84
The Hague University of Applied Sciences,University of Mons,84
University of Rome Tor Vergata,University of Vigo,84
"California State University, Bakersfield","California State University, Monterey Bay",84
University of Mississippi,University of Vigo,84
"University of California, Santa Barbara",University of Mons,84
"University of California, Santa Barbara",University of Vigo,84
"University of California, Santa Barbara","University of California, Berkeley",84
University of Worcester,University of Mons,84
University of Worcester,University of Vigo,84
FHWien der wkw university of applied sciences,University of Mons,84
University of Mississippi,University of Mons,84
FHWien der wkw university of applied sciences,University of Vigo,84
University of Rome Tor Vergata,University of Mons,84
University of Paris 13,University of Vigo,84
"Osaka University of Economics and Law
(大阪経済法科大学)",University of Mons,84
"Osaka University of Economics and Law
(大阪経済法科大学)",University of Vigo,84
University of Paris 13,University of Mons,84
University Center for Technology and Digital Art,Brno University of Technology,84
24-1 University of Rome Tor Vergata,University of Mons,84
24-1 University of Rome Tor Vergata,University of Vigo,84
Dresden University of Applied Sciences,University of Mons,84
Tor Vergata University of Rome,University of Vigo,84
University of Vigo,Leuphana University of Luneburg,84
university of Jaen,Tampere University of Applied Sciences,84
"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",University of Mons,84
University of Vigo,University of Tyumen,84
university of Jaen,University of Paris 13,84
university of Jaen,University of toulouse jean jaures,84
university of Jaen,Azerbaijan University of Languages,84
university of Jaen,University of Strasbourg,84
university of Jaen,Complutense University of Madrid,84
University of Vigo,Lucian Blaga University of Sibiu,84
university of Jaen,University of Salamanca,84
university of Jaen,Oulu University of Applied Sciences,84
university of Jaen,Savonia University of Applied Sciences,84
University of A Coruña,University of Vigo,84
University of Vigo,University of Mons,84
University of A Coruña,University of Mons,84
university of Jaen,Helsinki Metropolia University of Applied Sciences,84
University of Vigo,University of Vechta,84
University of Barcelona,University of Oregon,84
university of Jaen,University of Monterrey,84
University of Braunschweig of Technology,University of Mons,84
university of Jaen,Pontifical Catholic University of Minas Gerais,84
university of Jaen,Worms University of Applied Sciences,84
University of Braunschweig of Technology,University of Vigo,84
university of Jaen,University of Vale Do Itajai,84
University of Hradec Kralove,University of Vigo,84
university of Jaen,University of Vigo,84
university of Jaen,University of Seville,84
University of Vigo,Athens University of Economics and Business,84
university of Jaen,University of Santiago de Compostela,84
University of Braunschweig of Technology,Auckland University of Technology,84
university of Jaen,University of Vechta,84
University of Vigo,Rostov State University of Economics,84
"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",University of Vigo,84
University of Hradec Kralove,University of Mons,84
university of Jaen,University of Tartu,84
Augsburg University of Applied Sciences,University of Mons,84
University of Vigo,HZ University of Applied Sciences,84
university of Jaen,Sapienza University of Rome,84
University of Burgundy,University of Mons,84
university of Jaen,Hof University of Applied Sciences,84
University of Paris-Est Créteil Val de Marne,University of Vigo,84
University of Paris-Est Créteil Val de Marne,University of Mons,84
University of Burgundy,University of Vigo,84
university of Jaen,University of Ostrava,84
Augsburg University of Applied Sciences,University of Vigo,84
university of Jaen,Taras Shevchenko National University of Kyiv,84
university of Jaen,Vorarlberg University of Applied Sciences,84
university of Jaen,Brno University of Technology,84
University of Vigo,Saxion University of Applied Sciences,84
University of Vigo,Tio University of Applied Sciences,84
university of Jaen,Kaiserslautern University of Applied Sciences,84
University of Vigo,The Hague University of Applied Sciences,84
Kanda University of International Studies,Mongolia International University,84
Japan University of Economics,University of Vigo,84
University of Vigo,Hof University of Applied Sciences,84
university of Jaen,University of Economics in Katowice,84
University of Vigo,Kaiserslautern University of Applied Sciences,84
"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",University College Dublin,84
University of Vigo,Worms University of Applied Sciences,84
"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",University College London,84
university of Jaen,University of Warsaw,84
university of Jaen,University of Clermont-Ferrand,84
university of Jaen,University of Burgundy,84
university of Jaen,University of the Littoral Opal Coast,84
Kanda University of International Studies,University of Mons,84
University of Vigo,University of Barcelona,84
university of Jaen,Leuphana University of Luneburg,84
The University of Oklahoma,University of Vigo,84
university of Jaen,Uzbekistan State University of World Languages,84
The University of Mississippi,University of Mons,84
university of Jaen,"Osaka University of Economics and Law
(大阪経済法科大学)",84
Japan University of Economics,University of Mons,84
University of Barcelona,University of Vigo,84
university of Jaen,Nagoya University of Foreign Studies,84
university of Jaen,Kanda University of International Studies,84
university of Jaen,Japan University of Economics,84
university of Jaen,"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",84
university of Jaen,"Beijing University of Posts and Telecommunications
(北京邮电大学)",84
university of Jaen,Zhengzhou University of Light Industry (郑州轻工业学院),84
university of Jaen,Shandong University of Science and Technology (山东科技大学),84
university of Jaen,University of Jinan (中国济南大学),84
The University of Mississippi,University of Vigo,84
university of Jaen,Jiangsu University of Technology,84
University of Vigo,Complutense University of Madrid,84
university of Jaen,Hubei University of Technology(湖北工业大学),84
University of Barcelona,University of Mons,84
university of Jaen,The Education University of Hong Kong(香港教育學院),84
university of Jaen,"Chinese University of Hong Kong, Chung Chi College",84
university of Jaen,Trinity University of Asia,84
university of Jaen,University of Tyumen,84
European University of Applied Sciences,University of Vigo,84
university of Jaen,Lucian Blaga University of Sibiu,84
European University of Applied Sciences,University of Mons,84
university of Jaen,Christian University of Thailand,84
university of Jaen,University of California at Riverside,84
university of Jaen,University of Nebraska at Kearney,84
university of Jaen,University of Leicester,84
university of Jaen,University of Mons,84
university of Jaen,University of Indonesia,84
university of Jaen,University of Verona,84
Kanda University of International Studies,University of Vigo,84
University of Vigo,University of Santiago de Compostela,84
university of Jaen,University of Fortaleza,84
University of Vigo,University of Cantabria,84
Hanze University of Applied Sciences,University of Mons,84
university of Jaen,Federal University of Viçosa,84
University of Vigo,University of Seville,84
university of Jaen,Rostov State University of Economics,84
university of Jaen,National University of Cuyo,84
Hanze University of Applied Sciences,University of Vigo,84
university of Jaen,The University of Carthage,84
University of Vigo,University of Salamanca,84
university of Jaen,National University of Kaohsiung,84
university of Jaen,University of Malaya,84
University of Barcelona,University of Verona,84
university of Jaen,University of Cantabria,84
university of Jaen,Tashkent University of Information Technologies,84
The University of Oklahoma,University of Mons,84
university of Jaen,The University of La Sabana,84
university of Jaen,Peruvian University of Applied Sciences,84
university of Jaen,University of Barcelona,84
Algebra University College,"Columbia University, Columbia College",83
Aachen University of Applied Sciences,ADA University,83
Aoyama Gakuin University (ACUCA),ADA University,83
Worms University of applied sciences,Umeå University,83
University of Malaya,Umeå University,83
Algebra University College,ADA University,83
Leuphana University of Lüneburg,ADA University,83
Worms University of applied sciences,ADA University,83
University of Vechta,ADA University,83
Tianjin Normal University (天津师范大学),Hainan Normal University ( 海南师范大学),83
Heinrich Heine University Düsseldorf,ADA University,83
Heinrich Heine University Düsseldorf,Umeå University,83
Aoyama Gakuin University (ACUCA),Umeå University,83
Hochschule Augsburg University of Applied Sciences,ADA University,83
Fachhochschule Münster University of Applied Sciences,Umeå University,83
Istanbul Aydin University,ADA University,83
Fachhochschule Münster University of Applied Sciences,ADA University,83
Leuphana University of Lüneburg,Umeå University,83
Hochschule Darmstadt University Of Applied Sciences,Umeå University,83
Istanbul Aydin University,Umeå University,83
Worms University of Applied Sciences,ADA University,83
Hochschule Darmstadt University Of Applied Sciences,ADA University,83
Regensburg University of Applied Science (OTH Regensburg),Umeå University,83
Aoyama Gakuin University (ACUCA),Seinan Gakuin University,83
Regensburg University of Applied Science (OTH Regensburg),ADA University,83
Abat Oliba CEU University,ADA University,83
Worms University of Applied Sciences,Umeå University,83
Hochschule Augsburg University of Applied Sciences,Umeå University,83
National Chung Cheng University(國立中正大學),National University of Cuyo,83
University of Vechta,Umeå University,83
Concordia University,ADA University,83
Abat Oliba CEU University,Umeå University,83
"University of California, Davis",Umeå University,83
University of Strasbourg,ADA University,83
Shinshu University,ADA University,83
"University of California, Davis",ADA University,83
Shinshu University,Umeå University,83
Aachen University of Applied Science,Umeå University,83
Colorado State University - Pueblo,Umeå University,83
Colorado State University - Pueblo,ADA University,83
Keele University,Umeå University,83
Keele University,ADA University,83
Aachen University of Applied Science,Tio University of Applied Sciences,83
Aoyama Gakuin University,Umeå University,83
Aoyama Gakuin University,ADA University,83
Aoyama Gakuin University,Sapporo Gakuin University(札幌学院大学),83
Aoyama Gakuin University,Kwansei Gakuin University,83
Aoyama Gakuin University,Seinan Gakuin University,83
Meiji Gakuin University,ADA University,83
International Chritstian University,Umeå University,83
International Chritstian University,ADA University,83
Hochschule Furtwangen University,ADA University,83
Meiji Gakuin University,Umeå University,83
Hochschule Furtwangen University,Umeå University,83
Károli Gáspár University of the Reformed Church in Hungary,Umeå University,83
iadrina European University,ADA University,83
iadrina European University,Umeå University,83
Tor Vergata University of Rome,ADA University,83
Sophia University,Umeå University,83
Sophia University,ADA University,83
Aachen University of Applied Science,ADA University,83
Concordia University,Umeå University,83
Moscow State Linguistic University,Umeå University,83
Tomas Bata university,ADA University,83
Moscow State Linguistic University,ADA University,83
Algebra University College,Umeå University,83
Palacky University Olomouc,Umeå University,83
"Colorado State University, Pueblo",Umeå University,83
Yantai University(烟台大学),ADA University,83
"Colorado State University, Pueblo",ADA University,83
San Francisco State University,Umeå University,83
Yantai University(烟台大学),Umeå University,83
San Francisco State University,ADA University,83
Palacky University Olomouc,ADA University,83
University of Arkansas,Umeå University,83
Furtwangen University of Applied Sciences,ADA University,83
University of Arkansas,ADA University,83
Furtwangen University of Applied Sciences,Umeå University,83
"University of California, Berkeley",Umeå University,83
"University of California, Berkeley",ADA University,83
Kwansei Gakuin University,Umeå University,83
University of Strasbourg,Umeå University,83
Rey Juan Carlos University,Umeå University,83
Rey Juan Carlos University,ADA University,83
Alexandru Ioan Cuza University,ADA University,83
University of Edinburgh,Umeå University,83
University of Edinburgh,ADA University,83
Alexandru Ioan Cuza University,Umeå University,83
"Beijing University of Posts and Telecommunications
(北京邮电大学)",ADA University,83
J. F. Oberin University,Umeå University,83
J. F. Oberin University,ADA University,83
"Beijing University of Posts and Telecommunications
(北京邮电大学)",Umeå University,83
Tomas Bata university,Umeå University,83
Aachen University of Applied Sciences,Umeå University,83
University of Rome Tor Vergata,Umeå University,83
Saint Ignatius of Loyola University,Umeå University,83
University of Manchester,ADA University,83
Nagoya Gakuin University,Umeå University,83
Emporia State University,Umeå University,83
Emporia State University,ADA University,83
Emporia State University,Arizona State University,83
American University,Umeå University,83
Seinan Gakuin University,Umeå University,83
Oulu University of Applied Sciences,ADA University,83
University of Minnesota,Umeå University,83
American University,ADA University,83
University of Minnesota,ADA University,83
Heriot-Watt University,Umeå University,83
Heriot-Watt University,ADA University,83
University of Manchester,Umeå University,83
Oulu University of Applied Sciences,Umeå University,83
Black Hills State University,Umeå University,83
University of Central Lancashire,ADA University,83
Kanda University of International Studies,International Christian University,83
Brno University of Technology,Umeå University,83
Japan University of Economics,Umeå University,83
Brno University of Technology,ADA University,83
University of Ostrava,Umeå University,83
University of Ostrava,ADA University,83
Lingnan University(嶺南大學),ADA University,83
University Paris-Est Créteil,Umeå University,83
University Paris-Est Créteil,ADA University,83
Lingnan University(嶺南大學),Umeå University,83
Seinan Gakuin University,ADA University,83
Seinan Gakuin University,Sapporo Gakuin University(札幌学院大学),83
Black Hills State University,ADA University,83
Angelo State University,São Paulo State University,83
